Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40390138,09/26/2018 12:00:00 AM,10/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11106,32-15 31 AVENUE,31 AVENUE,32 STREET,33 STREET,,,ADDRESS,Astoria,,N/A,Closed,10/26/2018 09:05:51 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/03/2018 12:00:00 AM,01 QUEENS,4006160073,QUEENS,1005729,217587,ONLINE,Unspecified,QUEENS,,,,,,,,40.76387639180453,-73.92246271595423,"(40.76387639180453, -73.92246271595423)"
40401002,09/27/2018 12:00:00 AM,10/02/2018 03:56:48 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10467,843 EAST  218 STREET,EAST  218 STREET,BARNES AVENUE,BRONXWOOD AVENUE,,,ADDRESS,BRONX,,N/A,Closed,10/27/2018 11:01:58 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/02/2018 03:56:48 PM,12 BRONX,2046770017,BRONX,1023233,260483,ONLINE,Unspecified,BRONX,,,,,,,,40.88155373838017,-73.85902570534242,"(40.88155373838017, -73.85902570534242)"
40401813,09/28/2018 12:00:00 AM,10/04/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11369,25-28 89 STREET,89 STREET,25 AVENUE,30 AVENUE,,,ADDRESS,East Elmhurst,,N/A,Closed,10/28/2018 07:41:59 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/04/2018 12:00:00 AM,03 QUEENS,4013620023,QUEENS,1017476,217196,ONLINE,Unspecified,QUEENS,,,,,,,,40.76276685464562,-73.8800590646013,"(40.76276685464562, -73.8800590646013)"
40407310,09/28/2018 12:00:00 AM,10/02/2018 07:00:42 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,1220 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,,,,,LATLONG,BRONX,,N/A,Closed,10/28/2018 05:13:45 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/02/2018 07:00:42 PM,Unspecified BRONX,,BRONX,1005550,244379,MOBILE,Unspecified,BRONX,,,,,,,,40.83741350827726,-73.92302389988352,"(40.83741350827726, -73.92302389988352)"
40407524,09/29/2018 12:00:00 AM,10/03/2018 03:06:28 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10453,150 WEST BURNSIDE AVENUE,WEST BURNSIDE AVENUE,,,,,LATLONG,BRONX,,N/A,Closed,10/29/2018 12:01:14 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/03/2018 03:06:28 PM,Unspecified BRONX,,BRONX,1007709,250360,MOBILE,Unspecified,BRONX,,,,,,,,40.85382411713566,-73.91520056700276,"(40.85382411713566, -73.91520056700276)"
40221570,09/07/2018 12:00:00 AM,10/11/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10303,1815 FOREST AVENUE,FOREST AVENUE,MORNINGSTAR ROAD,SANDERS STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,10/07/2018 08:32:43 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/11/2018 12:00:00 AM,01 STATEN ISLAND,5011800006,STATEN ISLAND,942786,167084,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62518645384253,-74.14937037815767,"(40.62518645384253, -74.14937037815767)"
40428641,10/01/2018 12:00:00 AM,10/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11361,38-17 203 STREET,203 STREET,38 AVENUE,39 AVENUE,,,ADDRESS,Bayside,,N/A,Closed,10/31/2018 09:32:40 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/03/2018 12:00:00 AM,11 QUEENS,4061990004,QUEENS,1044406,217385,ONLINE,Unspecified,QUEENS,,,,,,,,40.763143386484096,-73.78284437383275,"(40.763143386484096, -73.78284437383275)"
40439966,10/02/2018 12:00:00 AM,10/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11412,191-42 115 DRIVE,115 DRIVE,191 STREET,194 STREET,,,ADDRESS,Saint Albans,,N/A,Closed,11/01/2018 06:59:36 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/05/2018 12:00:00 AM,12 QUEENS,4110570024,QUEENS,1050564,192440,PHONE,Unspecified,QUEENS,,,,,,,,40.69463166675943,-73.76086070062635,"(40.69463166675943, -73.76086070062635)"
40443537,10/02/2018 12:00:00 AM,10/11/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11101,2-03 BORDEN AVENUE,BORDEN AVENUE,,,,,LATLONG,LONG ISLAND CITY,,N/A,Closed,11/01/2018 06:03:16 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/11/2018 12:00:00 AM,Unspecified QUEENS,,QUEENS,995728,209745,MOBILE,Unspecified,QUEENS,,,,,,,,40.742370733723405,-73.95857881692267,"(40.742370733723405, -73.95857881692267)"
40449340,10/03/2018 12:00:00 AM,10/04/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11372,76-01 37 AVENUE,37 AVENUE,,,,,LATLONG,JACKSON HEIGHTS,,N/A,Closed,11/02/2018 07:37:05 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/04/2018 12:00:00 AM,Unspecified QUEENS,,QUEENS,1014875,212337,MOBILE,Unspecified,QUEENS,,,,,,,,40.74943954052508,-73.88947041088355,"(40.74943954052508, -73.88947041088355)"
